Gemeinde,PaxGas,PaxElektrizität,PaxÖl,PaxKeine,PaxUnbestimmt,PaxWeitere
Fahy,0.0,40.0,234.0,2.0,18.0,66.0
Faido,39.0,929.0,1198.0,4.0,273.0,483.0
Falera,0.0,44.0,279.0,0.0,192.0,118.0
Faoug,71.0,71.0,305.0,3.0,300.0,128.0
Farnern,0.0,31.0,126.0,0.0,33.0,38.0
Fehraltorf,792.0,457.0,3019.0,15.0,1782.0,625.0
Fehren,2.0,6.0,290.0,2.0,185.0,108.0
Felben-Wellhausen,161.0,71.0,1620.0,20.0,486.0,632.0
Feldbrunnen-St. Niklaus,345.0,63.0,360.0,6.0,83.0,127.0
Felsberg,0.0,22.0,1295.0,3.0,988.0,437.0
Ferden,2.0,55.0,123.0,0.0,23.0,48.0
Ferenbalm,0.0,75.0,609.0,5.0,217.0,345.0
Ferpicloz,4.0,23.0,67.0,0.0,94.0,69.0
Ferrera,0.0,26.0,11.0,0.0,9.0,43.0
Ferreyres,102.0,43.0,22.0,0.0,85.0,61.0
Feuerthalen,1760.0,110.0,957.0,0.0,727.0,156.0
Feusisberg,921.0,179.0,2086.0,0.0,1572.0,771.0
Fey,70.0,87.0,277.0,0.0,191.0,144.0
Fideris,6.0,20.0,162.0,0.0,143.0,292.0
Fiesch,18.0,231.0,507.0,6.0,52.0,125.0
Fieschertal,0.0,110.0,116.0,2.0,63.0,51.0
Fiez,0.0,62.0,167.0,0.0,130.0,84.0
Finhaut,3.0,80.0,146.0,1.0,20.0,128.0
Finsterhennen,0.0,22.0,360.0,0.0,111.0,57.0
Fischbach,2.0,19.0,302.0,0.0,173.0,237.0
Fischbach-Göslikon,0.0,71.0,873.0,8.0,457.0,295.0
Fischenthal,3.0,99.0,727.0,3.0,712.0,1096.0
Fischingen,22.0,158.0,1076.0,10.0,536.0,1214.0
Fisibach,16.0,23.0,245.0,0.0,163.0,100.0
Fislisbach,945.0,249.0,2788.0,24.0,1395.0,382.0
Flaach,0.0,62.0,426.0,3.0,516.0,415.0
Flawil,4058.0,135.0,3206.0,24.0,1796.0,1261.0
Flerden,0.0,13.0,67.0,0.0,44.0,144.0
Flims,19.0,175.0,1847.0,2.0,533.0,403.0
Flumenthal,4.0,72.0,627.0,4.0,162.0,189.0
Flums,61.0,117.0,2722.0,7.0,903.0,1508.0
Flurlingen,398.0,91.0,555.0,0.0,404.0,71.0
Fläsch,2.0,3.0,258.0,0.0,284.0,287.0
Flüelen,0.0,178.0,900.0,15.0,262.0,640.0
Flühli,0.0,205.0,758.0,0.0,254.0,708.0
Fontaines-sur-Grandson,23.0,23.0,96.0,0.0,47.0,38.0
Fontenais,3.0,106.0,853.0,4.0,320.0,430.0
Forel (Lavaux),371.0,211.0,1021.0,0.0,279.0,357.0
Forst-Längenbühl,5.0,53.0,251.0,2.0,170.0,314.0
Founex,183.0,577.0,2044.0,12.0,631.0,456.0
Fraubrunnen,16.0,304.0,2294.0,6.0,1556.0,1243.0
Frauenfeld,11554.0,368.0,8634.0,25.0,2211.0,3273.0
Frauenkappelen,0.0,84.0,729.0,0.0,207.0,370.0
Freienbach,5502.0,714.0,6272.0,64.0,2602.0,1643.0
Freienstein-Teufen,7.0,163.0,932.0,4.0,968.0,384.0
Freienwil,3.0,24.0,531.0,0.0,355.0,199.0
Freimettigen,4.0,8.0,153.0,0.0,100.0,179.0
Frenkendorf,2662.0,91.0,1637.0,1036.0,4.0,1129.0
Fribourg,15425.0,800.0,12286.0,28.0,5448.0,3032.0
Frick,642.0,259.0,2362.0,41.0,1663.0,758.0
Froideville,1212.0,427.0,381.0,0.0,350.0,302.0
Frutigen,0.0,594.0,3155.0,19.0,1123.0,2318.0
Fräschels,0.0,20.0,194.0,0.0,106.0,136.0
Fulenbach,84.0,87.0,852.0,0.0,562.0,204.0
Full-Reuenthal,2.0,56.0,390.0,1.0,335.0,136.0
Fully,18.0,1693.0,2523.0,24.0,3500.0,1282.0
Furna,0.0,0.0,35.0,0.0,22.0,173.0
Fällanden,3575.0,260.0,2175.0,23.0,2439.0,885.0
Féchy,440.0,47.0,223.0,0.0,125.0,83.0
Fétigny,45.0,55.0,377.0,0.0,420.0,259.0
Füllinsdorf,1888.0,46.0,909.0,820.0,0.0,862.0
Fürstenau,0.0,14.0,97.0,7.0,130.0,86.0
Gachnang,1110.0,82.0,1354.0,0.0,1513.0,423.0
Gais,121.0,93.0,1376.0,0.0,469.0,1190.0
Gaiserwald,1056.0,142.0,3578.0,14.0,2637.0,1065.0
Galgenen,512.0,242.0,2521.0,0.0,968.0,1105.0
Gals,0.0,36.0,345.0,2.0,251.0,208.0
Gambarogno,108.0,1115.0,2347.0,9.0,1400.0,332.0
Gampel-Bratsch,37.0,262.0,915.0,2.0,525.0,219.0
Gampelen,18.0,59.0,437.0,14.0,200.0,251.0
Gams,121.0,124.0,1325.0,0.0,1046.0,1087.0
Gansingen,9.0,63.0,431.0,2.0,318.0,248.0
Gebenstorf,1951.0,175.0,1858.0,6.0,1277.0,357.0
Gelterkinden,22.0,298.0,2853.0,845.0,0.0,2180.0
Geltwil,0.0,2.0,55.0,0.0,80.0,79.0
Gempen,3.0,21.0,454.0,2.0,217.0,226.0
Genolier,63.0,438.0,681.0,2.0,383.0,438.0
Genthod,1519.0,181.0,853.0,0.0,216.0,147.0
Genève,81711.0,1317.0,98367.0,233.0,12552.0,9741.0
Gerlafingen,2417.0,35.0,1608.0,0.0,1066.0,313.0
Geroldswil,747.0,137.0,2714.0,0.0,1127.0,545.0
Gersau,14.0,202.0,1030.0,50.0,507.0,618.0
Gerzensee,42.0,81.0,488.0,9.0,298.0,334.0
Geuensee,5.0,91.0,1122.0,0.0,1081.0,621.0
Gibloux,40.0,454.0,2530.0,2.0,2820.0,1926.0
Giebenach,0.0,43.0,407.0,306.0,0.0,356.0
